# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2026-03-31: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2026-03-31. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,23120180.17
4102,4102,Interest Income - SME Loans,INCOME,GHS,28281537.69
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,34036273.30
4104,4104,Interest Income - Overdrafts,INCOME,GHS,9226100.44
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,5029961.06
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,3470674.34
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,9925389.27
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,1480624.50
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,21056968.47
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,23108069.01
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,20069715.28
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,5140890.11
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,933288.19
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,574750.76
4401,4401,Foreign Exchange Trading Income,INCOME,USD,9069837.30
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,2268471.93
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,5369918.40
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,5727365.40
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,4535084.56
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,3940229.59
4505,4505,Remittance and Transfer Commissions,INCOME,USD,1624957.31
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,0.00
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,170631.55
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,286849.64
4703,4703,Gains on Trading Securities,INCOME,GHS,1098776.72
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,1772712.85
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,16270984.90
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,3472140.79
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,23001345.90
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,37869191.80
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,2301026.31
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,5870964.12
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,1293350.04
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,5026160.45
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,765277.09
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,28192684.25
5202,5202,Staff Training and Development,EXPENSE,GHS,1004247.47
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,861480.60
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,8142174.64
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,6324971.01
5302,5302,Travel and Transport,EXPENSE,GHS,1623726.48
5303,5303,Administrative and General Expenses,EXPENSE,GHS,5017747.28
5304,5304,"IT, Software and Communications",EXPENSE,GHS,6815148.54
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,2345345.03
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,1293261.91
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,2779601.42
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,1725747.91
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,5369950.06
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,11096756.88
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,907009.50
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,545984.34
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,0.00
5503,5503,Foreign Exchange Losses,EXPENSE,USD,1026230.49
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,9384860.58
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,1879117.26
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,0.00
