# Sample Bank onboarding dataset — atm_operations, reporting month 2025-11 (push with as_of_date=2025-11-30).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-11-30,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,75,4262,10,2000,7321,3035136.50,2990665.83,5.3,
2025-11-30,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,176,4232,10,2000,8613,4406626.86,4405881.73,4.8,
2025-11-30,ATM-003,Osu Oxford Street,Greater Accra,BR002,130,4750,20,5000,6466,2707991.48,2706387.74,0.0,
2025-11-30,ATM-004,Accra Mall,Greater Accra,BR003,150,4549,50,2000,6463,3191706.44,3190306.40,10.4,
2025-11-30,ATM-005,Kotoka International Airport,Greater Accra,BR003,109,1854,10,5000,4132,2020427.05,2008600.92,4.6,
2025-11-30,ATM-006,Madina Market,Greater Accra,BR004,129,4373,20,3000,6830,2473074.59,2472331.98,3.0,
2025-11-30,ATM-007,Legon — University of Ghana,Greater Accra,BR005,55,4235,50,3000,7582,2627041.76,2599459.45,1.8,
2025-11-30,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,46,2220,20,5000,3192,1621551.93,1619630.59,3.7,
2025-11-30,ATM-009,Spintex Road,Greater Accra,BR007,97,2062,10,5000,3083,986047.41,977760.67,1.5,
2025-11-30,ATM-010,Tema Community 1,Greater Accra,BR008,137,4634,20,3000,7952,3015507.35,3009988.11,5.9,
2025-11-30,ATM-011,Tema Harbour,Greater Accra,BR008,85,2210,20,2000,4103,1375835.25,1364819.30,9.1,
2025-11-30,ATM-012,Achimota Retail Centre,Greater Accra,BR009,95,2090,10,2000,3152,1275427.48,1271310.31,8.2,
2025-11-30,ATM-013,Kaneshie Market,Greater Accra,BR010,54,4568,20,2000,8385,3688701.49,3681299.46,6.9,
2025-11-30,ATM-014,Dansoman,Greater Accra,BR011,68,2147,10,2000,3920,1941615.56,1929138.82,1.9,
2025-11-30,ATM-015,Weija,Greater Accra,BR012,17,913,20,2000,1371,572628.43,564108.13,8.2,
2025-11-30,ATM-016,Kasoa,Central,BR013,35,1825,20,2000,3753,1696846.28,1685183.21,6.5,
2025-11-30,ATM-017,Ridge — Ministries,Greater Accra,BR014,118,1983,10,2000,3960,1834285.92,1820198.59,14.4,
2025-11-30,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,157,4455,10,2000,7260,3664494.28,3633228.23,9.8,
2025-11-30,ATM-019,Kumasi Adum,Ashanti,BR020,101,4519,10,2000,6971,2310977.46,2287265.10,9.5,
2025-11-30,ATM-020,Kumasi Kejetia,Ashanti,BR021,110,4389,10,5000,8555,2835766.67,2795601.59,5.1,
2025-11-30,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,92,4801,20,2000,7430,2601853.71,2565117.77,7.1,
2025-11-30,ATM-022,Kumasi Asafo,Ashanti,BR023,110,2069,20,5000,3075,1038512.46,1027455.79,13.3,
