# Sample Bank onboarding dataset — remittance_flows, reporting month 2026-02 (push with as_of_date=2026-02-28).
month,direction,corridor_country,region,recipient_class,channel,currency,amount_fx,amount_usd,amount_ghs,transaction_count,operator_name,notes
2026-02-28,inbound,US,usa_canada,individual,mto,USD,1772981.44,1772981.44,19059550.45,6628,MoneyGram,
2026-02-28,inbound,US,usa_canada,individual,mobile_money,USD,805900.65,805900.65,8663432.02,2347,MTN MoMo interop,
2026-02-28,inbound,US,usa_canada,individual,bank,USD,580248.47,580248.47,6237671.06,1825,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,individual,other,USD,64472.05,64472.05,693074.56,210,Correspondent cheque,
2026-02-28,inbound,US,usa_canada,exporter,bank,USD,326850.70,326850.70,3513645.02,12,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,service_provider,bank,USD,201364.51,201364.51,2164668.48,33,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,service_provider,mto,USD,35534.91,35534.91,382000.32,6,Taptap Send,
2026-02-28,inbound,US,usa_canada,ngo,bank,USD,194492.89,194492.89,2090798.52,15,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,embassy,bank,USD,42704.66,42704.66,459075.13,1,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,other,bank,USD,69199.75,69199.75,743897.31,16,SWIFT MT103,
2026-02-28,inbound,US,usa_canada,other,mto,USD,46133.17,46133.17,495931.54,13,Remitly,
2026-02-28,inbound,GB,uk,individual,mto,GBP,997248.30,1266505.34,13614932.42,3731,Remitly,
2026-02-28,inbound,GB,uk,individual,mobile_money,GBP,453294.68,575684.25,6188605.64,1518,Telecel Cash interop,
2026-02-28,inbound,GB,uk,individual,bank,GBP,326372.17,414492.66,4455796.06,1502,SWIFT MT103,
2026-02-28,inbound,GB,uk,individual,other,GBP,36263.57,46054.74,495088.45,145,Correspondent cheque,
2026-02-28,inbound,GB,uk,exporter,bank,GBP,186518.73,236878.79,2546446.98,8,SWIFT MT103,
2026-02-28,inbound,GB,uk,service_provider,bank,GBP,101647.37,129092.16,1387740.75,18,SWIFT MT103,
2026-02-28,inbound,GB,uk,service_provider,mto,GBP,17937.77,22780.97,244895.43,4,Western Union,
2026-02-28,inbound,GB,uk,ngo,bank,GBP,76409.43,97039.98,1043179.78,6,SWIFT MT103,
2026-02-28,inbound,GB,uk,embassy,bank,GBP,19913.73,25290.43,271872.16,1,SWIFT MT103,
2026-02-28,inbound,GB,uk,other,bank,GBP,26176.57,33244.24,357375.63,8,SWIFT MT103,
2026-02-28,inbound,GB,uk,other,mto,GBP,17451.05,22162.83,238250.42,4,Taptap Send,
