# Sample Bank onboarding dataset — atm_operations, reporting month 2025-10 (push with as_of_date=2025-10-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-10-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,98,4202,20,2000,8226,2481233.47,2465346.61,0.0,
2025-10-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,157,4119,20,2000,7423,2445801.73,2432138.60,3.4,
2025-10-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,93,4574,20,2000,6894,3540325.74,3535697.09,9.1,
2025-10-31,ATM-004,Accra Mall,Greater Accra,BR003,128,4328,10,2000,8366,3955389.15,3947025.81,5.7,
2025-10-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,117,1823,10,3000,3947,1414693.46,1402200.60,7.4,
2025-10-31,ATM-006,Madina Market,Greater Accra,BR004,124,4259,10,2000,7039,3183882.08,3157582.41,12.2,
2025-10-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,149,4123,10,5000,8382,4285303.47,4233231.48,1.6,
2025-10-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,61,2092,10,2000,3845,1334450.07,1314879.67,4.7,
2025-10-31,ATM-009,Spintex Road,Greater Accra,BR007,103,1924,20,2000,3979,1145229.29,1141047.01,9.1,
2025-10-31,ATM-010,Tema Community 1,Greater Accra,BR008,131,4413,20,2000,8239,2585722.62,2569712.82,7.1,
2025-10-31,ATM-011,Tema Harbour,Greater Accra,BR008,106,2040,50,2000,3530,1149003.18,1139420.68,0.0,
2025-10-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,100,1986,10,2000,3370,1665609.23,1661272.65,0.0,
2025-10-31,ATM-013,Kaneshie Market,Greater Accra,BR010,105,4420,20,2000,7019,2196582.09,2194756.26,9.0,
2025-10-31,ATM-014,Dansoman,Greater Accra,BR011,109,1980,50,5000,3539,1312906.24,1304805.22,6.6,
2025-10-31,ATM-015,Weija,Greater Accra,BR012,21,826,10,1000,1544,497625.31,490272.30,16.4,
2025-10-31,ATM-016,Kasoa,Central,BR013,32,1672,20,5000,3327,1131009.21,1119810.25,6.5,
2025-10-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,30,1808,10,5000,4011,1146572.62,1142633.89,2.6,
2025-10-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,133,4404,10,3000,6638,2498562.57,2498214.56,9.5,
2025-10-31,ATM-019,Kumasi Adum,Ashanti,BR020,158,4298,10,5000,6433,1827668.73,1811180.63,4.7,
2025-10-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,89,4215,50,2000,7944,3039895.96,3030411.61,10.8,
2025-10-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,150,4587,20,2000,8616,3853016.82,3824617.45,6.4,
2025-10-31,ATM-022,Kumasi Asafo,Ashanti,BR023,109,1981,20,2000,4081,1648672.54,1625460.66,1.5,
2025-10-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,47,1973,10,3000,3955,1276082.09,1265393.51,10.0,
2025-10-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,22,784,50,2000,1630,754752.96,743611.22,27.4,extended outage: link / power failure
2025-10-31,ATM-025,Obuasi,Ashanti,BR026,52,1755,10,2000,4129,1878139.35,1872433.03,0.5,
2025-10-31,ATM-026,Ejisu,Ashanti,BR027,52,957,50,2000,1418,703719.65,696824.55,15.8,
2025-10-31,ATM-027,Konongo,Ashanti,BR028,29,1002,20,1000,1348,480048.55,476731.68,0.0,
2025-10-31,ATM-028,Takoradi Market Circle,Western,BR030,106,4267,10,3000,7020,3127306.48,3090462.16,1.2,
2025-10-31,ATM-029,Takoradi Harbour,Western,BR031,69,1772,10,2000,3544,1237783.17,1224971.34,6.8,
2025-10-31,ATM-030,Tarkwa,Western,BR032,56,2126,10,2000,3114,1058783.83,1056836.67,0.0,
2025-10-31,ATM-031,Sekondi,Western,BR033,48,865,20,2000,1412,637821.13,631002.22,0.0,
2025-10-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,101,1831,20,2000,3210,1335056.62,1331665.87,12.1,
2025-10-31,ATM-033,Cape Coast Kotokuraba,Central,BR036,119,2290,10,5000,3821,1086721.08,1075932.14,2.2,
2025-10-31,ATM-034,Koforidua,Eastern,BR040,64,2031,20,2000,4003,1738406.61,1735043.83,12.7,
2025-10-31,ATM-035,Nkawkaw,Eastern,BR041,41,941,10,1000,1533,534321.60,530867.77,10.1,
2025-10-31,ATM-036,Akosombo,Eastern,BR042,51,860,20,2000,1373,390347.93,387701.35,8.3,
2025-10-31,ATM-037,Ho,Volta,BR045,62,2138,10,5000,3126,912515.83,907231.34,5.7,
2025-10-31,ATM-038,Aflao Border,Volta,BR046,36,868,10,2000,1666,533258.11,527300.69,6.9,
2025-10-31,ATM-039,Tamale Central,Northern,BR050,96,1792,50,5000,3324,1182274.01,1181224.62,9.8,
