# Sample Bank onboarding dataset — atm_operations, reporting month 2026-01 (push with as_of_date=2026-01-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2026-01-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,155,4453,10,2000,6705,3326500.15,3307049.56,2.5,
2026-01-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,108,4656,50,3000,8419,4247270.98,4241706.06,15.0,
2026-01-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,127,5137,50,2000,7892,3313361.27,3310256.84,6.9,
2026-01-31,ATM-004,Accra Mall,Greater Accra,BR003,156,4695,10,2000,6462,2606409.78,2602035.26,2.0,
2026-01-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,42,1972,20,5000,3551,1097065.78,1082923.52,16.9,
2026-01-31,ATM-006,Madina Market,Greater Accra,BR004,171,4872,20,5000,6966,3095316.76,3057607.49,11.9,
2026-01-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,74,4494,10,2000,8164,3652522.27,3607938.90,1.7,
2026-01-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,101,2494,10,5000,3131,998816.50,994895.99,0.0,
2026-01-31,ATM-009,Spintex Road,Greater Accra,BR007,126,2236,20,5000,3121,1504133.84,1495191.41,7.2,
2026-01-31,ATM-010,Tema Community 1,Greater Accra,BR008,107,5061,10,2000,7023,2356514.80,2331372.37,3.2,
2026-01-31,ATM-011,Tema Harbour,Greater Accra,BR008,62,2428,20,5000,3284,1507338.79,1503985.28,0.8,
2026-01-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,92,2240,20,2000,3961,1735657.70,1710923.15,4.2,
2026-01-31,ATM-013,Kaneshie Market,Greater Accra,BR010,128,4872,20,5000,7132,3396880.70,3364987.44,1.7,
2026-01-31,ATM-014,Dansoman,Greater Accra,BR011,78,2354,20,3000,3385,1435487.70,1434394.09,1.2,
2026-01-31,ATM-015,Weija,Greater Accra,BR012,25,1001,20,1000,1691,813277.49,804864.39,13.9,
2026-01-31,ATM-016,Kasoa,Central,BR013,38,1950,10,2000,3574,1189229.27,1174063.84,7.4,
2026-01-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,124,2234,10,3000,3679,1691024.74,1666914.10,4.5,
