# Sample Bank onboarding dataset — atm_operations, reporting month 2025-08 (push with as_of_date=2025-08-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-08-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,158,3934,10,3000,7677,3099540.50,3053654.74,16.2,
2025-08-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,50,3737,50,5000,8496,2404940.99,2376209.27,3.0,
2025-08-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,148,4230,20,2000,7564,2807784.88,2774764.08,5.1,
2025-08-31,ATM-004,Accra Mall,Greater Accra,BR003,92,4029,10,5000,6881,2381888.87,2348463.55,5.4,
2025-08-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,80,1669,50,2000,4020,1835188.79,1820316.71,4.7,
2025-08-31,ATM-006,Madina Market,Greater Accra,BR004,152,3888,50,5000,7847,2735188.94,2718465.17,11.4,
2025-08-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,50,3867,20,2000,8944,3406035.79,3384024.61,0.5,
2025-08-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,119,1910,50,2000,3639,1160322.80,1152666.17,6.3,
2025-08-31,ATM-009,Spintex Road,Greater Accra,BR007,37,1608,10,5000,3826,1538031.82,1525344.51,0.0,
2025-08-31,ATM-010,Tema Community 1,Greater Accra,BR008,62,3952,50,5000,8907,4292260.11,4273932.92,5.6,
2025-08-31,ATM-011,Tema Harbour,Greater Accra,BR008,91,1860,10,3000,3527,1283294.16,1279649.95,8.2,
2025-08-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,39,1777,50,3000,3703,1167583.59,1165039.85,7.1,
2025-08-31,ATM-013,Kaneshie Market,Greater Accra,BR010,163,4056,10,5000,7653,3882922.14,3869641.55,7.6,
2025-08-31,ATM-014,Dansoman,Greater Accra,BR011,81,1714,10,3000,3367,1629700.66,1615410.63,5.5,
2025-08-31,ATM-015,Weija,Greater Accra,BR012,35,703,10,1000,1385,526992.01,522677.71,10.6,
2025-08-31,ATM-016,Kasoa,Central,BR013,53,1543,50,2000,4063,1300258.87,1294108.06,2.2,
2025-08-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,59,1649,20,3000,3449,1074233.72,1068875.93,0.0,
2025-08-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,54,4206,10,5000,8276,3842178.41,3834971.83,8.1,
2025-08-31,ATM-019,Kumasi Adum,Ashanti,BR020,143,4018,20,5000,7040,3337096.60,3289245.88,2.3,
2025-08-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,73,4014,10,2000,6735,3187731.30,3155599.98,3.7,
2025-08-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,50,4127,20,2000,7727,3702683.77,3667578.00,11.4,
