# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2025-12-31: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2025-12-31. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,84898953.29
4102,4102,Interest Income - SME Loans,INCOME,GHS,103892420.90
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,125108597.88
4104,4104,Interest Income - Overdrafts,INCOME,GHS,33938021.39
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,18517036.90
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,12785832.79
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,36584671.69
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,5459335.16
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,77323893.28
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,84844229.07
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,73768660.09
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,18884605.90
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,3427054.81
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,2110276.46
4401,4401,Foreign Exchange Trading Income,INCOME,USD,33385331.46
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,8343518.30
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,19790985.29
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,21095769.12
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,16691843.16
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,14491064.21
4505,4505,Remittance and Transfer Commissions,INCOME,USD,5971841.08
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1616966.81
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,302622.15
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,1057559.40
4703,4703,Gains on Trading Securities,INCOME,GHS,4051491.63
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,6524743.44
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,59749546.65
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,12748407.43
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,84464585.04
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,139119011.95
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,8458493.19
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,21597682.67
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,4761584.60
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,18517202.64
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,2820890.92
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,103627315.29
5202,5202,Staff Training and Development,EXPENSE,GHS,3689058.73
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,3312122.35
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,29895087.76
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,23282131.82
5302,5302,Travel and Transport,EXPENSE,GHS,5972232.70
5303,5303,Administrative and General Expenses,EXPENSE,GHS,18442246.86
5304,5304,"IT, Software and Communications",EXPENSE,GHS,25033780.60
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,8611983.20
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,4748410.55
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,10207846.22
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,6340607.95
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,19791334.76
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,40873667.76
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,3338403.34
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,973230.11
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,789763.77
5503,5503,Foreign Exchange Losses,EXPENSE,USD,3782035.57
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,33445429.63
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,6655900.48
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,26683597.53
