# Sample Bank onboarding dataset — remittance_flows, reporting month 2026-01 (push with as_of_date=2026-01-31).
month,direction,corridor_country,region,recipient_class,channel,currency,amount_fx,amount_usd,amount_ghs,transaction_count,operator_name,notes
2026-01-31,inbound,US,usa_canada,individual,mto,USD,1504546.53,1504546.53,15948193.18,3999,Ria,
2026-01-31,inbound,US,usa_canada,individual,mobile_money,USD,683884.78,683884.78,7249178.72,2462,MTN MoMo interop,
2026-01-31,inbound,US,usa_canada,individual,bank,USD,492397.04,492397.04,5219408.68,1755,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,individual,other,USD,54710.78,54710.78,579934.30,176,Correspondent cheque,
2026-01-31,inbound,US,usa_canada,exporter,bank,USD,273871.19,273871.19,2903034.59,8,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,service_provider,bank,USD,203363.71,203363.71,2155655.28,28,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,service_provider,mto,USD,35887.71,35887.71,380409.76,6,MoneyGram,
2026-01-31,inbound,US,usa_canada,ngo,bank,USD,169572.92,169572.92,1797472.95,12,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,embassy,bank,USD,45505.04,45505.04,482353.45,1,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,other,bank,USD,57308.26,57308.26,607467.54,15,SWIFT MT103,
2026-01-31,inbound,US,usa_canada,other,mto,USD,38205.51,38205.51,404978.36,11,Remitly,
2026-01-31,inbound,GB,uk,individual,mto,GBP,979418.31,1243861.26,13184929.31,4275,Western Union,
2026-01-31,inbound,GB,uk,individual,mobile_money,GBP,445190.14,565391.48,5993149.69,1627,Telecel Cash interop,
2026-01-31,inbound,GB,uk,individual,bank,GBP,320536.90,407081.87,4315067.77,1451,SWIFT MT103,
2026-01-31,inbound,GB,uk,individual,other,GBP,35615.21,45231.32,479451.97,156,Correspondent cheque,
2026-01-31,inbound,GB,uk,exporter,bank,GBP,133800.94,169927.19,1801228.22,5,SWIFT MT103,
2026-01-31,inbound,GB,uk,service_provider,bank,GBP,114131.00,144946.37,1536431.53,19,SWIFT MT103,
2026-01-31,inbound,GB,uk,service_provider,mto,GBP,20140.76,25578.77,271134.98,3,MoneyGram,
2026-01-31,inbound,GB,uk,ngo,bank,GBP,91864.98,116668.52,1236686.35,9,SWIFT MT103,
2026-01-31,inbound,GB,uk,embassy,bank,GBP,17273.70,21937.60,232538.55,1,SWIFT MT103,
2026-01-31,inbound,GB,uk,other,bank,GBP,32017.21,40661.86,431015.72,10,SWIFT MT103,
2026-01-31,inbound,GB,uk,other,mto,GBP,21344.81,27107.91,287343.82,7,Taptap Send,
2026-01-31,inbound,CA,usa_canada,individual,mto,CAD,351236.21,256402.43,2717865.76,885,MoneyGram,
2026-01-31,inbound,CA,usa_canada,individual,mobile_money,CAD,159652.82,116546.56,1235393.53,319,Telecel Cash interop,
2026-01-31,inbound,CA,usa_canada,individual,bank,CAD,114950.03,83913.52,889483.34,257,SWIFT MT103,
2026-01-31,inbound,CA,usa_canada,individual,other,CAD,12772.23,9323.72,98831.48,33,Correspondent cheque,
2026-01-31,inbound,CA,usa_canada,exporter,bank,CAD,46242.65,33757.13,357825.59,1,SWIFT MT103,
2026-01-31,inbound,CA,usa_canada,service_provider,bank,CAD,40717.98,29724.13,315075.73,4,SWIFT MT103,
2026-01-31,inbound,CA,usa_canada,service_provider,mto,CAD,7185.53,5245.43,55601.60,1,Remitly,
2026-01-31,inbound,CA,usa_canada,ngo,bank,CAD,28987.53,21160.89,224305.48,1,SWIFT MT103,
2026-01-31,inbound,CA,usa_canada,other,bank,CAD,9386.57,6852.20,72633.27,1,SWIFT MT103,
2026-01-31,inbound,CA,usa_canada,other,mto,CAD,6257.71,4568.13,48422.18,1,Western Union,
2026-01-31,inbound,DE,eu,individual,mto,EUR,247122.62,269363.66,2855254.77,927,Taptap Send,
2026-01-31,inbound,DE,eu,individual,mobile_money,EUR,112328.46,122438.03,1297843.08,352,Telecel Cash interop,
