# Sample Bank onboarding dataset — atm_operations, reporting month 2026-06 (push with as_of_date=2026-06-30).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2026-06-30,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,109,5043,50,2000,7253,2758201.24,2737902.15,0.0,
2026-06-30,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,146,5533,10,5000,7957,2653448.34,2628136.44,10.4,
2026-06-30,ATM-003,Osu Oxford Street,Greater Accra,BR002,63,5882,20,2000,7301,2628546.63,2617373.04,15.1,
2026-06-30,ATM-004,Accra Mall,Greater Accra,BR003,156,5340,20,5000,7930,2355939.55,2355712.49,13.1,
2026-06-30,ATM-005,Kotoka International Airport,Greater Accra,BR003,61,2627,10,5000,3971,1897112.44,1888699.14,10.7,
2026-06-30,ATM-006,Madina Market,Greater Accra,BR004,78,5626,20,2000,6773,3140112.10,3125538.13,2.9,
2026-06-30,ATM-007,Legon — University of Ghana,Greater Accra,BR005,122,5454,20,2000,6830,2331887.02,2297767.58,5.5,
2026-06-30,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,73,3005,50,2000,3305,1007217.33,997501.24,8.6,
2026-06-30,ATM-009,Spintex Road,Greater Accra,BR007,101,2831,50,2000,4103,1791081.65,1787099.05,8.0,
2026-06-30,ATM-010,Tema Community 1,Greater Accra,BR008,101,5847,20,2000,7728,3588855.71,3547267.60,1.2,
2026-06-30,ATM-011,Tema Harbour,Greater Accra,BR008,47,2806,50,5000,3599,1373314.27,1369184.17,6.1,
2026-06-30,ATM-012,Achimota Retail Centre,Greater Accra,BR009,73,2748,20,5000,3325,1688196.76,1670071.47,13.1,
2026-06-30,ATM-013,Kaneshie Market,Greater Accra,BR010,72,5452,50,2000,7937,2523191.23,2514136.64,0.5,
2026-06-30,ATM-014,Dansoman,Greater Accra,BR011,36,2865,20,2000,3136,1599309.92,1582275.14,7.4,
2026-06-30,ATM-015,Weija,Greater Accra,BR012,51,1225,50,2000,1450,602394.08,597550.18,7.2,
