# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2025-10-31: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2025-10-31. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,70327688.41
4102,4102,Interest Income - SME Loans,INCOME,GHS,85981111.31
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,103455592.66
4104,4104,Interest Income - Overdrafts,INCOME,GHS,28047942.90
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,15299165.63
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,10564696.46
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,30241587.96
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,4519858.88
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,64158168.45
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,70340615.47
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,61260502.05
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,15677588.44
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,2843310.09
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,1749363.03
4401,4401,Foreign Exchange Trading Income,INCOME,USD,27715115.88
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,6928744.53
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,16407121.57
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,17503233.22
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,13857603.47
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,12034071.31
4505,4505,Remittance and Transfer Commissions,INCOME,USD,4959056.65
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1616966.81
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,302622.15
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,874563.49
4703,4703,Gains on Trading Securities,INCOME,GHS,3353193.25
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,5391071.06
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,49577002.62
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,10569368.62
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,69962104.04
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,115125705.75
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,6994125.09
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,17848664.87
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,3934091.85
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,15300767.22
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,2331918.19
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,86056640.35
5202,5202,Staff Training and Development,EXPENSE,GHS,3062610.81
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,2624606.59
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,24782767.76
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,19327630.50
5302,5302,Travel and Transport,EXPENSE,GHS,4959527.47
5303,5303,Administrative and General Expenses,EXPENSE,GHS,15314977.76
5304,5304,"IT, Software and Communications",EXPENSE,GHS,20781615.32
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,7144601.79
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,3935994.89
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,8453395.92
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,5246065.02
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,16407058.55
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,33912433.08
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,2771518.95
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,973230.11
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,789763.77
5503,5503,Foreign Exchange Losses,EXPENSE,USD,3135626.24
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,24943304.64
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,4971047.43
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,26683597.53
