# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2025-09-30: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2025-09-30. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,63080476.29
4102,4102,Interest Income - SME Loans,INCOME,GHS,77194212.70
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,92951227.52
4104,4104,Interest Income - Overdrafts,INCOME,GHS,25210702.48
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,13752230.45
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,9493354.30
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,27156861.58
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,4050971.75
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,57436285.90
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,63033834.01
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,54769836.95
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,14024581.81
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,2545679.93
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,1567824.71
4401,4401,Foreign Exchange Trading Income,INCOME,USD,24776199.52
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,6193288.66
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,14684467.72
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,15653666.02
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,12387747.09
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,10756821.56
4505,4505,Remittance and Transfer Commissions,INCOME,USD,4434073.41
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1616966.81
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,302622.15
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,784912.97
4703,4703,Gains on Trading Securities,INCOME,GHS,3006450.41
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,4846080.74
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,44381811.96
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,9471218.18
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,62758078.33
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,103367999.16
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,6284291.12
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,16043462.67
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,3536257.58
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,13748529.34
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,2093908.43
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,76938037.02
5202,5202,Staff Training and Development,EXPENSE,GHS,2739649.22
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,2349816.59
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,22210409.53
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,17278253.39
5302,5302,Travel and Transport,EXPENSE,GHS,4433087.95
5303,5303,Administrative and General Expenses,EXPENSE,GHS,13692829.74
5304,5304,"IT, Software and Communications",EXPENSE,GHS,18591646.09
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,6397254.60
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,3527860.35
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,7584618.07
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,4711139.16
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,14684719.84
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,30329352.26
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,2477563.88
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,973230.11
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,789763.77
5503,5503,Foreign Exchange Losses,EXPENSE,USD,2806191.95
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,24943304.64
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,4971047.43
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,26683597.53
