# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2026-06-30: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2026-06-30. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,47342065.82
4102,4102,Interest Income - SME Loans,INCOME,GHS,57927480.68
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,69737204.09
4104,4104,Interest Income - Overdrafts,INCOME,GHS,18909407.91
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,10311918.09
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,7116494.48
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,20353029.09
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,3035507.08
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,43103529.01
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,47307995.08
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,41086257.97
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,10523259.48
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,1910452.63
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,1176682.47
4401,4401,Foreign Exchange Trading Income,INCOME,USD,18576044.83
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,4644794.80
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,11004910.86
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,11733638.57
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,9288049.82
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,8067579.43
4505,4505,Remittance and Transfer Commissions,INCOME,USD,3326468.78
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1837462.29
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,170631.55
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,588202.61
4703,4703,Gains on Trading Securities,INCOME,GHS,2252820.52
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,3634025.78
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,33306588.17
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,7108310.30
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,47099800.98
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,77567453.03
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,4714725.66
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,12033176.24
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,2651546.83
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,10306071.42
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,1569279.49
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,57715629.94
5202,5202,Staff Training and Development,EXPENSE,GHS,2055668.81
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,1763458.29
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,16669331.67
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,12954345.53
5302,5302,Travel and Transport,EXPENSE,GHS,3324669.77
5303,5303,Administrative and General Expenses,EXPENSE,GHS,10272081.15
5304,5304,"IT, Software and Communications",EXPENSE,GHS,13950376.80
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,4800986.03
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,2647728.90
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,5692125.40
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,3535098.91
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,11005057.62
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,22734075.56
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,1857608.16
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,545984.34
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,897458.83
5503,5503,Foreign Exchange Losses,EXPENSE,USD,2103061.32
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,18813564.34
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,3757449.61
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,30322269.92
