# Sample Bank onboarding dataset — atm_operations, reporting month 2026-02 (push with as_of_date=2026-02-28).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2026-02-28,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,93,4644,50,5000,8458,2471277.06,2442819.60,6.4,
2026-02-28,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,169,4872,10,2000,8181,3333095.69,3295333.66,9.7,
2026-02-28,ATM-003,Osu Oxford Street,Greater Accra,BR002,124,5309,20,3000,7503,2750606.20,2714028.66,0.2,
2026-02-28,ATM-004,Accra Mall,Greater Accra,BR003,100,4766,10,2000,7116,2304540.94,2295304.05,2.5,
2026-02-28,ATM-005,Kotoka International Airport,Greater Accra,BR003,46,2113,10,3000,3474,1544725.66,1522773.83,7.3,
2026-02-28,ATM-006,Madina Market,Greater Accra,BR004,80,4940,20,2000,6604,2197139.83,2174265.20,3.1,
2026-02-28,ATM-007,Legon — University of Ghana,Greater Accra,BR005,69,4705,50,2000,7768,2980784.52,2943575.82,0.0,
2026-02-28,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,81,2603,50,2000,3392,1547831.46,1525071.54,8.1,
2026-02-28,ATM-009,Spintex Road,Greater Accra,BR007,81,2381,10,2000,3536,1075469.53,1073890.70,11.9,
2026-02-28,ATM-010,Tema Community 1,Greater Accra,BR008,162,5154,10,2000,7578,3032837.62,2993918.52,2.9,
2026-02-28,ATM-011,Tema Harbour,Greater Accra,BR008,89,2555,20,2000,3732,1642500.34,1638271.69,10.7,
2026-02-28,ATM-012,Achimota Retail Centre,Greater Accra,BR009,81,2412,20,5000,3550,1708846.79,1704452.07,11.6,
2026-02-28,ATM-013,Kaneshie Market,Greater Accra,BR010,118,5017,20,2000,6860,3203473.66,3200578.25,4.2,
2026-02-28,ATM-014,Dansoman,Greater Accra,BR011,93,2522,10,2000,4138,1747734.95,1734210.13,3.2,
2026-02-28,ATM-015,Weija,Greater Accra,BR012,38,1054,10,2000,1648,677603.66,672152.29,1.6,
2026-02-28,ATM-016,Kasoa,Central,BR013,95,2040,10,2000,3188,954028.90,940224.75,11.5,
2026-02-28,ATM-017,Ridge — Ministries,Greater Accra,BR014,116,2372,50,3000,3463,1057127.60,1043281.73,6.1,
2026-02-28,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,138,4788,10,2000,6849,2258933.36,2233363.49,11.5,
2026-02-28,ATM-019,Kumasi Adum,Ashanti,BR020,104,5168,10,2000,6618,2959991.50,2931787.92,0.0,
2026-02-28,ATM-020,Kumasi Kejetia,Ashanti,BR021,169,4908,20,5000,8053,2386362.36,2379762.10,0.0,
2026-02-28,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,123,5292,20,2000,7129,2366009.70,2348362.93,8.8,
2026-02-28,ATM-022,Kumasi Asafo,Ashanti,BR023,62,2329,20,2000,4019,1747244.84,1737091.88,3.0,
2026-02-28,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,69,2332,50,2000,3422,1486040.14,1476254.93,0.1,
2026-02-28,ATM-024,Kumasi Ahodwo,Ashanti,BR025,24,1004,20,2000,1716,765365.46,755852.57,0.5,
2026-02-28,ATM-025,Obuasi,Ashanti,BR026,53,2159,50,2000,4064,1427258.26,1406231.55,2.9,
2026-02-28,ATM-026,Ejisu,Ashanti,BR027,51,1163,20,2000,1702,480501.56,475971.62,12.0,
2026-02-28,ATM-027,Konongo,Ashanti,BR028,17,1231,10,2000,1655,629393.02,624722.29,1.1,
2026-02-28,ATM-028,Takoradi Market Circle,Western,BR030,140,5022,20,5000,7368,2228322.18,2213929.33,14.9,
2026-02-28,ATM-029,Takoradi Harbour,Western,BR031,100,2090,10,5000,3713,1912629.68,1885579.17,5.3,
2026-02-28,ATM-030,Tarkwa,Western,BR032,75,2355,20,2000,3863,1306700.45,1290154.05,9.3,
2026-02-28,ATM-031,Sekondi,Western,BR033,29,1123,50,1000,1517,625203.01,621833.47,22.9,
2026-02-28,ATM-032,Cape Coast — UCC Campus,Central,BR035,58,2383,20,2000,4034,1963869.84,1946365.61,9.4,
2026-02-28,ATM-033,Cape Coast Kotokuraba,Central,BR036,119,2816,50,3000,3355,967789.50,954557.70,9.2,
2026-02-28,ATM-034,Koforidua,Eastern,BR040,59,2491,10,3000,3331,1630729.96,1610111.24,4.9,
2026-02-28,ATM-035,Nkawkaw,Eastern,BR041,23,1098,10,1000,1683,583198.42,576606.12,2.1,
2026-02-28,ATM-036,Akosombo,Eastern,BR042,15,1122,20,2000,1326,614265.45,614157.66,0.0,
2026-02-28,ATM-037,Ho,Volta,BR045,42,2419,10,3000,4056,1573524.02,1561184.91,6.4,
2026-02-28,ATM-038,Aflao Border,Volta,BR046,52,1043,10,2000,1466,470385.84,463484.90,17.7,
2026-02-28,ATM-039,Tamale Central,Northern,BR050,44,2098,20,2000,3427,1707534.67,1704540.01,8.8,
2026-02-28,ATM-040,Tamale — UDS Campus,Northern,BR051,59,2499,10,2000,3535,1267698.64,1261703.79,0.0,
2026-02-28,ATM-041,Sunyani,Bono,BR055,85,2310,20,2000,3318,955266.10,950227.54,10.5,
