# Sample Bank onboarding dataset — remittance_flows, reporting month 2026-05 (push with as_of_date=2026-05-31).
month,direction,corridor_country,region,recipient_class,channel,currency,amount_fx,amount_usd,amount_ghs,transaction_count,operator_name,notes
2026-05-31,inbound,US,usa_canada,individual,mto,USD,1772677.39,1772677.39,19853986.80,4909,Western Union,
2026-05-31,inbound,US,usa_canada,individual,mobile_money,USD,805762.45,805762.45,9024539.45,2186,MTN MoMo interop,
2026-05-31,inbound,US,usa_canada,individual,bank,USD,580148.96,580148.96,6497668.41,1828,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,individual,other,USD,64461.00,64461.00,721963.16,168,Correspondent cheque,
2026-05-31,inbound,US,usa_canada,exporter,bank,USD,285086.07,285086.07,3192964.03,11,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,service_provider,bank,USD,189294.47,189294.47,2120098.10,24,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,service_provider,mto,USD,33404.91,33404.91,374134.96,5,Taptap Send,
2026-05-31,inbound,US,usa_canada,ngo,bank,USD,197432.52,197432.52,2211244.25,14,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,embassy,bank,USD,40501.37,40501.37,453615.34,1,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,other,bank,USD,64532.20,64532.20,722760.66,13,SWIFT MT103,
2026-05-31,inbound,US,usa_canada,other,mto,USD,43021.47,43021.47,481840.44,10,Western Union,
2026-05-31,inbound,GB,uk,individual,mto,GBP,808434.50,1026711.82,11499172.34,3567,Taptap Send,
2026-05-31,inbound,GB,uk,individual,mobile_money,GBP,367470.23,466687.19,5226896.52,1641,MTN MoMo interop,
2026-05-31,inbound,GB,uk,individual,bank,GBP,264578.56,336014.78,3763365.49,934,SWIFT MT103,
2026-05-31,inbound,GB,uk,individual,other,GBP,29397.62,37334.98,418151.72,109,Correspondent cheque,
2026-05-31,inbound,GB,uk,exporter,bank,GBP,174985.41,222231.47,2488992.48,9,SWIFT MT103,
2026-05-31,inbound,GB,uk,service_provider,bank,GBP,87338.13,110919.42,1242297.52,19,SWIFT MT103,
2026-05-31,inbound,GB,uk,service_provider,mto,GBP,15412.61,19574.02,219228.97,2,Remitly,
2026-05-31,inbound,GB,uk,ngo,bank,GBP,74907.24,95132.20,1065480.59,5,SWIFT MT103,
2026-05-31,inbound,GB,uk,embassy,bank,GBP,16344.19,20757.13,232479.81,1,SWIFT MT103,
2026-05-31,inbound,GB,uk,other,bank,GBP,33952.14,43119.22,482935.27,8,SWIFT MT103,
2026-05-31,inbound,GB,uk,other,mto,GBP,22634.76,28746.15,321956.84,6,Remitly,
2026-05-31,inbound,CA,usa_canada,individual,mto,CAD,301642.23,220198.83,2466226.86,825,Taptap Send,
2026-05-31,inbound,CA,usa_canada,individual,mobile_money,CAD,137110.10,100090.38,1121012.21,324,MTN MoMo interop,
2026-05-31,inbound,CA,usa_canada,individual,bank,CAD,98719.27,72065.07,807128.79,180,SWIFT MT103,
2026-05-31,inbound,CA,usa_canada,individual,other,CAD,10968.81,8007.23,89680.98,24,Correspondent cheque,
2026-05-31,inbound,CA,usa_canada,exporter,bank,CAD,53396.09,38979.14,436566.42,1,SWIFT MT103,
2026-05-31,inbound,CA,usa_canada,service_provider,bank,CAD,35448.07,25877.09,289823.39,4,SWIFT MT103,
2026-05-31,inbound,CA,usa_canada,service_provider,mto,CAD,6255.54,4566.55,51145.30,1,Ria,
