# Sample Bank onboarding dataset — atm_operations, reporting month 2025-07 (push with as_of_date=2025-07-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-07-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,152,3850,10,2000,8460,2548772.59,2543142.51,9.2,
2025-07-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,73,3529,50,2000,6894,3188109.63,3158208.75,7.3,
2025-07-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,94,4037,10,5000,8387,2410269.27,2401345.97,4.3,
2025-07-31,ATM-004,Accra Mall,Greater Accra,BR003,143,3921,50,3000,6655,3307633.19,3293478.94,2.2,
2025-07-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,104,1578,10,2000,3452,1525473.54,1505187.15,0.0,
2025-07-31,ATM-006,Madina Market,Greater Accra,BR004,65,3759,20,5000,6516,2831202.74,2800960.35,4.5,
2025-07-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,117,3743,20,3000,6487,2957578.66,2948940.90,2.7,
2025-07-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,78,1854,50,2000,3743,1830965.46,1828326.67,7.4,
2025-07-31,ATM-009,Spintex Road,Greater Accra,BR007,116,1516,20,3000,3335,1443604.12,1429093.35,4.4,
2025-07-31,ATM-010,Tema Community 1,Greater Accra,BR008,173,3821,20,5000,7461,3486963.72,3438293.39,2.2,
2025-07-31,ATM-011,Tema Harbour,Greater Accra,BR008,36,1724,20,5000,3597,1626690.88,1614118.86,3.3,
2025-07-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,62,1626,10,2000,3060,1379841.41,1360434.33,5.5,
2025-07-31,ATM-013,Kaneshie Market,Greater Accra,BR010,83,3964,20,5000,8102,3629255.83,3618385.14,1.3,
