# Sample Bank onboarding dataset — atm_operations, reporting month 2025-09 (push with as_of_date=2025-09-30).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-09-30,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,66,4034,20,2000,7821,3389251.84,3363862.45,5.2,
2025-09-30,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,195,3949,20,2000,7033,2661104.74,2631297.28,12.1,
2025-09-30,ATM-003,Osu Oxford Street,Greater Accra,BR002,179,4388,10,2000,6911,2491043.19,2470989.44,1.3,
2025-09-30,ATM-004,Accra Mall,Greater Accra,BR003,135,4264,10,2000,8710,3858343.66,3813078.95,7.3,
2025-09-30,ATM-005,Kotoka International Airport,Greater Accra,BR003,129,1779,20,2000,3400,1274246.24,1273109.73,0.0,
2025-09-30,ATM-006,Madina Market,Greater Accra,BR004,95,3993,10,3000,8305,3210471.95,3169642.52,4.0,
2025-09-30,ATM-007,Legon — University of Ghana,Greater Accra,BR005,127,4069,10,5000,7407,2835761.31,2828255.82,6.7,
2025-09-30,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,83,1969,10,2000,3447,1541125.71,1522406.97,6.7,
2025-09-30,ATM-009,Spintex Road,Greater Accra,BR007,61,1771,20,3000,3897,2008149.98,1988516.27,6.9,
2025-09-30,ATM-010,Tema Community 1,Greater Accra,BR008,174,4201,50,2000,8914,2880100.26,2875414.54,12.1,
2025-09-30,ATM-011,Tema Harbour,Greater Accra,BR008,36,1984,20,5000,4054,1198196.93,1195095.24,7.6,
2025-09-30,ATM-012,Achimota Retail Centre,Greater Accra,BR009,122,1870,50,2000,4241,1821473.23,1818097.77,8.6,
2025-09-30,ATM-013,Kaneshie Market,Greater Accra,BR010,61,4151,20,2000,8302,3202548.72,3164719.31,1.2,
