# Sample Bank onboarding dataset — atm_operations, reporting month 2026-03 (push with as_of_date=2026-03-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2026-03-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,95,4806,10,5000,7364,3014641.47,3013414.75,16.3,
2026-03-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,112,5092,50,2000,7345,2825847.11,2791190.45,8.9,
2026-03-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,120,5542,10,5000,7755,2416419.26,2403266.59,10.7,
2026-03-31,ATM-004,Accra Mall,Greater Accra,BR003,82,4878,50,5000,8003,2768409.27,2744293.42,2.0,
2026-03-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,72,2176,10,2000,3974,1308800.08,1292431.26,12.2,
2026-03-31,ATM-006,Madina Market,Greater Accra,BR004,129,5202,20,5000,8374,3304456.81,3284373.00,0.6,
2026-03-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,113,4839,10,2000,7053,3505910.46,3490030.62,1.8,
2026-03-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,51,2699,10,2000,3327,1266970.88,1262856.12,6.4,
2026-03-31,ATM-009,Spintex Road,Greater Accra,BR007,109,2485,20,5000,4122,1946649.43,1922834.95,6.4,
2026-03-31,ATM-010,Tema Community 1,Greater Accra,BR008,58,5397,10,2000,8178,3197396.57,3163720.08,0.0,
2026-03-31,ATM-011,Tema Harbour,Greater Accra,BR008,48,2616,20,2000,3789,1498892.12,1490555.88,9.4,
2026-03-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,36,2518,10,2000,3998,1355016.25,1347482.73,13.7,
2026-03-31,ATM-013,Kaneshie Market,Greater Accra,BR010,147,5140,10,2000,8005,2859745.06,2820216.30,9.3,
2026-03-31,ATM-014,Dansoman,Greater Accra,BR011,64,2629,10,2000,4034,1673873.34,1654097.34,10.4,
2026-03-31,ATM-015,Weija,Greater Accra,BR012,54,1122,50,1000,1509,744525.70,742085.62,21.6,
2026-03-31,ATM-016,Kasoa,Central,BR013,60,2115,20,3000,3832,1932665.38,1920947.30,6.2,
2026-03-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,67,2417,10,2000,3396,1183330.01,1173685.58,5.4,
2026-03-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,61,5013,20,5000,7073,2701970.17,2700968.15,7.3,
2026-03-31,ATM-019,Kumasi Adum,Ashanti,BR020,169,5374,10,2000,7170,2016892.10,1989840.79,17.1,
2026-03-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,162,4981,20,5000,7329,3024601.05,3022005.26,5.5,
2026-03-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,62,5439,20,5000,8404,3521851.12,3470277.07,7.5,
2026-03-31,ATM-022,Kumasi Asafo,Ashanti,BR023,93,2363,20,3000,3636,1419375.01,1402428.95,14.6,
2026-03-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,45,2428,10,3000,3939,1462968.77,1445753.47,6.8,
2026-03-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,38,1064,50,2000,1460,677562.26,676342.25,16.8,
2026-03-31,ATM-025,Obuasi,Ashanti,BR026,64,2334,10,2000,3502,1115102.02,1100654.15,10.2,
2026-03-31,ATM-026,Ejisu,Ashanti,BR027,42,1208,20,2000,1385,531605.07,531264.54,0.0,
2026-03-31,ATM-027,Konongo,Ashanti,BR028,45,1291,50,1000,1373,620042.78,614034.11,0.0,
2026-03-31,ATM-028,Takoradi Market Circle,Western,BR030,162,5245,10,3000,7259,3149872.66,3145189.46,13.0,
2026-03-31,ATM-029,Takoradi Harbour,Western,BR031,53,2261,10,2000,3535,1748419.01,1733133.81,8.2,
2026-03-31,ATM-030,Tarkwa,Western,BR032,81,2431,10,2000,3668,1614943.40,1604005.42,11.4,
2026-03-31,ATM-031,Sekondi,Western,BR033,18,1170,20,2000,1542,686088.10,678716.38,5.6,
2026-03-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,76,2524,10,5000,4097,1626600.18,1623281.50,5.3,
2026-03-31,ATM-033,Cape Coast Kotokuraba,Central,BR036,106,2911,20,2000,3357,1441108.76,1428399.21,0.0,
2026-03-31,ATM-034,Koforidua,Eastern,BR040,49,2592,20,2000,3742,1875574.95,1856795.88,8.9,
2026-03-31,ATM-035,Nkawkaw,Eastern,BR041,39,1131,10,2000,1665,694127.84,692488.04,6.5,
2026-03-31,ATM-036,Akosombo,Eastern,BR042,48,1198,10,1000,1349,500015.96,493535.61,15.9,
2026-03-31,ATM-037,Ho,Volta,BR045,71,2532,10,3000,3705,1647554.98,1636884.74,0.0,
2026-03-31,ATM-038,Aflao Border,Volta,BR046,35,1065,10,1000,1444,452724.29,447106.82,0.0,
2026-03-31,ATM-039,Tamale Central,Northern,BR050,93,2131,10,5000,3427,1307233.56,1300094.89,6.3,
2026-03-31,ATM-040,Tamale — UDS Campus,Northern,BR051,42,2610,20,2000,3662,1746456.33,1733483.99,0.0,
2026-03-31,ATM-041,Sunyani,Bono,BR055,32,2439,10,2000,3734,1434929.00,1425937.61,1.5,
2026-03-31,ATM-042,Techiman Market,Bono East,BR056,33,2572,10,3000,3677,1371812.77,1357284.03,9.7,
2026-03-31,ATM-043,Bolgatanga,Upper East,BR060,26,1213,10,2000,1358,537444.96,532535.69,2.5,
2026-03-31,ATM-044,Wa,Upper West,BR065,35,962,20,1000,1706,600680.05,597157.00,16.3,
