# Sample Bank onboarding dataset — atm_operations, reporting month 2026-05 (push with as_of_date=2026-05-31).
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2026-05-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,155,4987,20,2000,8534,4124241.79,4094786.51,4.2,
2026-05-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,162,5467,50,3000,7616,2529953.55,2511015.62,5.8,
2026-05-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,62,5824,20,5000,7895,3840220.13,3823846.91,2.9,
2026-05-31,ATM-004,Accra Mall,Greater Accra,BR003,93,5178,20,5000,6479,2467277.34,2463298.16,3.0,
2026-05-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,41,2470,10,5000,3152,1386265.83,1381894.16,9.2,
2026-05-31,ATM-006,Madina Market,Greater Accra,BR004,83,5442,50,3000,7622,2514558.65,2504462.68,0.1,
2026-05-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,140,5198,50,2000,8534,2550473.22,2526285.71,3.1,
2026-05-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,119,2906,10,3000,3246,1244871.74,1234733.94,5.6,
2026-05-31,ATM-009,Spintex Road,Greater Accra,BR007,74,2732,10,2000,3444,1373640.47,1362406.81,7.7,
2026-05-31,ATM-010,Tema Community 1,Greater Accra,BR008,46,5798,20,5000,6622,3313484.09,3269371.10,10.6,
2026-05-31,ATM-011,Tema Harbour,Greater Accra,BR008,88,2760,10,2000,3512,1055012.80,1051179.58,0.0,
2026-05-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,46,2649,20,3000,3282,1436805.77,1433064.81,11.9,
2026-05-31,ATM-013,Kaneshie Market,Greater Accra,BR010,138,5402,50,2000,6849,3410716.82,3363042.91,8.3,
2026-05-31,ATM-014,Dansoman,Greater Accra,BR011,36,2756,10,3000,3315,1578360.87,1567284.16,6.8,
2026-05-31,ATM-015,Weija,Greater Accra,BR012,35,1178,10,2000,1486,520659.03,516368.82,8.6,
2026-05-31,ATM-016,Kasoa,Central,BR013,92,2264,10,5000,3626,1808996.17,1781890.62,3.8,
2026-05-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,35,2575,20,5000,3299,1563008.87,1554391.84,14.5,
2026-05-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,74,5358,10,3000,7032,2211396.76,2190912.33,11.3,
2026-05-31,ATM-019,Kumasi Adum,Ashanti,BR020,140,5527,20,2000,7174,2683728.25,2676502.99,6.6,
2026-05-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,60,5404,20,3000,6789,2870165.08,2845444.72,2.1,
2026-05-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,83,5712,20,2000,6966,3444603.50,3417055.98,9.0,
2026-05-31,ATM-022,Kumasi Asafo,Ashanti,BR023,105,2669,50,2000,4065,2069936.08,2044952.88,8.1,
2026-05-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,48,2629,20,2000,3838,1526135.32,1516208.47,0.0,
2026-05-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,54,1153,20,1000,1520,427703.21,425427.06,3.7,
2026-05-31,ATM-025,Obuasi,Ashanti,BR026,43,2668,10,3000,3852,1396366.37,1383188.35,7.6,
2026-05-31,ATM-026,Ejisu,Ashanti,BR027,22,1303,10,2000,1481,681581.71,674523.59,2.5,
2026-05-31,ATM-027,Konongo,Ashanti,BR028,53,1377,20,1000,1696,821311.30,818137.75,11.9,
2026-05-31,ATM-028,Takoradi Market Circle,Western,BR030,104,5664,10,2000,7940,3093675.97,3087047.82,5.7,
2026-05-31,ATM-029,Takoradi Harbour,Western,BR031,112,2437,20,3000,4058,1937825.30,1913842.28,0.9,
2026-05-31,ATM-030,Tarkwa,Western,BR032,41,2631,20,3000,3432,1707755.27,1699546.30,7.7,
2026-05-31,ATM-031,Sekondi,Western,BR033,41,1235,50,1000,1419,668104.39,665084.07,4.2,
2026-05-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,74,2776,50,2000,3933,1527439.37,1515757.77,4.9,
