# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — INCOME/EXPENSE general-ledger balances as at 2025-08-31: fiscal-year-to-date (calendar fiscal year, trial-balance convention), cedis; FX-business accounts carry currency=USD with the balance already in cedi equivalent. Push with scripts/ingest_push.py --entity gl_account=<this file> --as-of 2025-08-31. Realistic, not real: sized to the bank's balance sheet (docs/data_engine/datasets/gl_mapping_bsd7.md).
source_reference,account_code,name,account_class,currency,balance
4101,4101,Interest Income - Retail Loans,INCOME,GHS,55682872.90
4102,4102,Interest Income - SME Loans,INCOME,GHS,68154682.32
4103,4103,Interest Income - Corporate Loans,INCOME,GHS,82115375.43
4104,4104,Interest Income - Overdrafts,INCOME,GHS,22292123.97
4105,4105,Interest Income - Residential Mortgages,INCOME,GHS,12173674.60
4106,4106,Interest Income - Agricultural Loans,INCOME,GHS,8413373.54
4107,4107,Interest Income - Foreign Currency Loans,INCOME,USD,24092640.45
4109,4109,Interest in Suspense - Non-performing Loans (contra),INCOME,GHS,3598322.95
4201,4201,Discount Income - Government of Ghana Treasury Bills,INCOME,GHS,50740079.62
4202,4202,Discount Income - Bank of Ghana Bills,INCOME,GHS,55652146.60
4301,4301,Interest Income - Government of Ghana Bonds,INCOME,GHS,48476502.70
4302,4302,Interest Income - Interbank Placements,INCOME,GHS,12399455.00
4303,4303,Interest Income - Foreign Currency Placements,INCOME,USD,2248705.13
4304,4304,Interest Income - Reverse Repos with Bank of Ghana,INCOME,GHS,1384164.43
4401,4401,Foreign Exchange Trading Income,INCOME,USD,21975924.99
4402,4402,Foreign Exchange Revaluation Gains,INCOME,USD,5487333.77
4501,4501,Loan Processing and Commitment Fees,INCOME,GHS,13042365.26
4502,4502,Trade Finance Commissions - LCs and Guarantees,INCOME,USD,13895325.36
4503,4503,Account Maintenance and Transaction Fees,INCOME,GHS,10986422.59
4504,4504,Card and Digital Channel Commissions,INCOME,GHS,9529465.26
4505,4505,Remittance and Transfer Commissions,INCOME,USD,3923579.21
4601,4601,Dividend Income - Equity Investments,INCOME,GHS,1616966.81
4701,4701,Gain/Loss on Disposal of Property and Equipment,INCOME,GHS,150155.76
4702,4702,Rent Receivable - Investment Property,INCOME,GHS,696730.66
4703,4703,Gains on Trading Securities,INCOME,GHS,2670220.98
4801,4801,Other Operating Income - Recoveries and Sundry,INCOME,GHS,4288611.62
5101,5101,Interest Expense - Savings Deposits,EXPENSE,GHS,39208284.37
5102,5102,Interest Expense - Current Accounts,EXPENSE,GHS,8362154.93
5103,5103,Interest Expense - Time Deposits - Retail,EXPENSE,GHS,55398275.78
5104,5104,Interest Expense - Time Deposits - Corporate and Institutional,EXPENSE,GHS,91266821.40
5105,5105,Interest Expense - Foreign Currency Time Deposits,EXPENSE,USD,5552073.93
5106,5106,Interest Expense - Interbank Borrowings,EXPENSE,GHS,14187435.73
5107,5107,Interest Expense - Foreign Currency Borrowings,EXPENSE,USD,3130661.62
5108,5108,Interest Expense - Subordinated Debt,EXPENSE,GHS,12185656.48
5109,5109,Interest Expense - Repos and BoG Facilities,EXPENSE,GHS,1857793.99
5201,5201,Staff Salaries and Wages,EXPENSE,GHS,68099343.78
5202,5202,Staff Training and Development,EXPENSE,GHS,2422245.56
5203,5203,Directors Emoluments and Fees,EXPENSE,GHS,2075727.37
5204,5204,"Other Staff Costs - Pensions, Medical and Allowances",EXPENSE,GHS,19608774.40
5301,5301,"Occupancy - Rent, Utilities and Premises Maintenance",EXPENSE,GHS,15325781.26
5302,5302,Travel and Transport,EXPENSE,GHS,3927881.01
5303,5303,Administrative and General Expenses,EXPENSE,GHS,12118241.05
5304,5304,"IT, Software and Communications",EXPENSE,GHS,16435869.87
5305,5305,Marketing and Business Promotion,EXPENSE,GHS,5650609.59
5306,5306,"Audit, Legal and Professional Fees",EXPENSE,GHS,3114504.57
5307,5307,Deposit Protection Premium and Regulatory Levies,EXPENSE,GHS,6695246.44
5308,5308,Correspondent Banking and Card Scheme Charges,EXPENSE,USD,4160054.91
5401,5401,Depreciation and Amortisation,EXPENSE,GHS,13042702.98
5402,5402,Impairment Charge - Loans and Advances,EXPENSE,GHS,26923002.06
5403,5403,Impairment Charge - Investments and Other Assets,EXPENSE,GHS,2197350.78
5501,5501,Losses on Sale of Investment Securities,EXPENSE,GHS,973230.11
5502,5502,Losses on Dealing Assets,EXPENSE,GHS,789763.77
5503,5503,Foreign Exchange Losses,EXPENSE,USD,2492303.34
5601,5601,Corporate Income Tax Charge,EXPENSE,GHS,16555936.62
5602,5602,Financial Sector Recovery Levy,EXPENSE,GHS,3306555.66
5701,5701,Extraordinary Items,EXPENSE,GHS,0.00
5801,5801,Dividends Paid and Payable,EXPENSE,GHS,26683597.53
