# Sample Bank DAILY DEPOSIT sub-ledger — close of business 2026-06-17; push with as_of_date=2026-06-17. Feeds BSD1 deposit lines 1-10 (the form's PREVIOUS-week block). Liquid assets are in eod_ladder/.
source_reference,position_type,currency,balance,deposit_account_type,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,interest_rate,rate_type,attributes.balance_ghs,attributes.instrument,attributes.branch_id
DEP-CURRENT_RET-0001,DEPOSIT,GHS,6901514.47,CURRENT,SBL-CUST-014540,DEP.RET.CUR,2001,2018-08-12,,0.001325,FLOATING,,,BR018
DEP-CURRENT_RET-0002,DEPOSIT,GHS,27921703.72,CURRENT,SBL-CUST-008988,DEP.RET.CUR,2001,2020-02-16,,0.003172,FLOATING,,,BR006
DEP-CURRENT_RET-0003,DEPOSIT,GHS,7141096.66,CURRENT,SBL-CUST-002111,DEP.RET.CUR,2001,2021-05-05,,0.003551,FLOATING,,,BR009
DEP-CURRENT_RET-0004,DEPOSIT,GHS,6959700.87,CURRENT,SBL-CUST-006161,DEP.RET.CUR,2001,2024-10-19,,0.002003,FLOATING,,,BR010
DEP-CURRENT_RET-0005,DEPOSIT,GHS,6486620.54,CURRENT,SBL-CUST-001677,DEP.RET.CUR,2001,2025-10-20,,0.001022,FLOATING,,,BR005
DEP-CURRENT_RET-0006,DEPOSIT,GHS,12381457.68,CURRENT,SBL-CUST-008709,DEP.RET.CUR,2001,2021-03-03,,0.002577,FLOATING,,,BR022
DEP-CURRENT_RET-0007,DEPOSIT,GHS,22133378.32,CURRENT,SBL-CUST-010388,DEP.RET.CUR,2001,2026-03-15,,0.001464,FLOATING,,,BR024
DEP-CURRENT_RET-0008,DEPOSIT,GHS,6797118.2,CURRENT,SBL-CUST-005329,DEP.RET.CUR,2001,2024-09-06,,0.001127,FLOATING,,,BR016
DEP-CURRENT_RET-0009,DEPOSIT,GHS,6131726.53,CURRENT,SBL-CUST-007421,DEP.RET.CUR,2001,2020-07-05,,0.000332,FLOATING,,,BR002
DEP-CURRENT_RET-0010,DEPOSIT,GHS,5989120.09,CURRENT,SBL-CUST-002664,DEP.RET.CUR,2001,2022-12-27,,0.001833,FLOATING,,,BR023
DEP-CURRENT_RET-0011,DEPOSIT,GHS,5280300.3,CURRENT,SBL-CUST-004712,DEP.RET.CUR,2001,2021-10-25,,0.001131,FLOATING,,,BR006
DEP-CURRENT_RET-0012,DEPOSIT,GHS,6765985.72,CURRENT,SBL-CUST-007262,DEP.RET.CUR,2001,2023-11-15,,0.0003,FLOATING,,,BR027
DEP-CURRENT_RET-0013,DEPOSIT,GHS,5360880.55,CURRENT,SBL-CUST-001628,DEP.RET.CUR,2001,2023-07-19,,0.000207,FLOATING,,,BR028
DEP-CURRENT_RET-0014,DEPOSIT,GHS,9723388.07,CURRENT,SBL-CUST-001030,DEP.RET.CUR,2001,2018-08-21,,0.002021,FLOATING,,,BR012
DEP-CURRENT_RET-0015,DEPOSIT,GHS,5970390.27,CURRENT,SBL-CUST-009649,DEP.RET.CUR,2001,2026-02-16,,0.00324,FLOATING,,,BR025
DEP-CURRENT_RET-0016,DEPOSIT,GHS,12969914.26,CURRENT,SBL-CUST-004235,DEP.RET.CUR,2001,2024-08-22,,0.001146,FLOATING,,,BR023
DEP-CURRENT_RET-0017,DEPOSIT,GHS,9284422.4,CURRENT,SBL-CUST-010054,DEP.RET.CUR,2001,2024-08-23,,0.003024,FLOATING,,,BR024
