# Sample Bank DAILY DEPOSIT sub-ledger — close of business 2026-06-20; push with as_of_date=2026-06-20. Feeds BSD1 deposit lines 1-10 (the form's PREVIOUS-week block). Liquid assets are in eod_ladder/.
source_reference,position_type,currency,balance,deposit_account_type,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,interest_rate,rate_type,attributes.balance_ghs,attributes.instrument,attributes.branch_id
DEP-CURRENT_RET-0001,DEPOSIT,GHS,6908595.99,CURRENT,SBL-CUST-014540,DEP.RET.CUR,2001,2018-08-12,,0.001325,FLOATING,,,BR018
DEP-CURRENT_RET-0002,DEPOSIT,GHS,28038182.46,CURRENT,SBL-CUST-008988,DEP.RET.CUR,2001,2020-02-16,,0.003172,FLOATING,,,BR006
DEP-CURRENT_RET-0003,DEPOSIT,GHS,7140362.71,CURRENT,SBL-CUST-002111,DEP.RET.CUR,2001,2021-05-05,,0.003551,FLOATING,,,BR009
DEP-CURRENT_RET-0004,DEPOSIT,GHS,6963947.58,CURRENT,SBL-CUST-006161,DEP.RET.CUR,2001,2024-10-19,,0.002003,FLOATING,,,BR010
DEP-CURRENT_RET-0005,DEPOSIT,GHS,6497944.08,CURRENT,SBL-CUST-001677,DEP.RET.CUR,2001,2025-10-20,,0.001022,FLOATING,,,BR005
DEP-CURRENT_RET-0006,DEPOSIT,GHS,12375698.51,CURRENT,SBL-CUST-008709,DEP.RET.CUR,2001,2021-03-03,,0.002577,FLOATING,,,BR022
DEP-CURRENT_RET-0007,DEPOSIT,GHS,22187502.67,CURRENT,SBL-CUST-010388,DEP.RET.CUR,2001,2026-03-15,,0.001464,FLOATING,,,BR024
DEP-CURRENT_RET-0008,DEPOSIT,GHS,6817012.02,CURRENT,SBL-CUST-005329,DEP.RET.CUR,2001,2024-09-06,,0.001127,FLOATING,,,BR016
DEP-CURRENT_RET-0009,DEPOSIT,GHS,6152984.38,CURRENT,SBL-CUST-007421,DEP.RET.CUR,2001,2020-07-05,,0.000332,FLOATING,,,BR002
DEP-CURRENT_RET-0010,DEPOSIT,GHS,5972313.99,CURRENT,SBL-CUST-002664,DEP.RET.CUR,2001,2022-12-27,,0.001833,FLOATING,,,BR023
DEP-CURRENT_RET-0011,DEPOSIT,GHS,5278239.09,CURRENT,SBL-CUST-004712,DEP.RET.CUR,2001,2021-10-25,,0.001131,FLOATING,,,BR006
DEP-CURRENT_RET-0012,DEPOSIT,GHS,6769736.36,CURRENT,SBL-CUST-007262,DEP.RET.CUR,2001,2023-11-15,,0.0003,FLOATING,,,BR027
DEP-CURRENT_RET-0013,DEPOSIT,GHS,5385440.35,CURRENT,SBL-CUST-001628,DEP.RET.CUR,2001,2023-07-19,,0.000207,FLOATING,,,BR028
DEP-CURRENT_RET-0014,DEPOSIT,GHS,9714714.59,CURRENT,SBL-CUST-001030,DEP.RET.CUR,2001,2018-08-21,,0.002021,FLOATING,,,BR012
DEP-CURRENT_RET-0015,DEPOSIT,GHS,5979030.81,CURRENT,SBL-CUST-009649,DEP.RET.CUR,2001,2026-02-16,,0.00324,FLOATING,,,BR025
DEP-CURRENT_RET-0016,DEPOSIT,GHS,12975418.75,CURRENT,SBL-CUST-004235,DEP.RET.CUR,2001,2024-08-22,,0.001146,FLOATING,,,BR023
DEP-CURRENT_RET-0017,DEPOSIT,GHS,9317185.31,CURRENT,SBL-CUST-010054,DEP.RET.CUR,2001,2024-08-23,,0.003024,FLOATING,,,BR024
DEP-CURRENT_RET-0018,DEPOSIT,GHS,8092764.73,CURRENT,SBL-CUST-003420,DEP.RET.CUR,2001,2019-03-19,,0.000736,FLOATING,,,BR013
DEP-CURRENT_RET-0019,DEPOSIT,GHS,7419464.7,CURRENT,SBL-CUST-010705,DEP.RET.CUR,2001,2023-05-02,,1.8e-05,FLOATING,,,BR003
DEP-CURRENT_RET-0020,DEPOSIT,GHS,5952741.16,CURRENT,SBL-CUST-003373,DEP.RET.CUR,2001,2019-12-19,,0.001641,FLOATING,,,BR001
DEP-CURRENT_RET-0021,DEPOSIT,GHS,5376662.3,CURRENT,SBL-CUST-010937,DEP.RET.CUR,2001,2019-08-27,,8.4e-05,FLOATING,,,BR026
DEP-CURRENT_RET-0022,DEPOSIT,GHS,5475401.99,CURRENT,SBL-CUST-002625,DEP.RET.CUR,2001,2019-06-10,,0.00298,FLOATING,,,BR020
DEP-CURRENT_RET-0023,DEPOSIT,GHS,8273272.96,CURRENT,SBL-CUST-008215,DEP.RET.CUR,2001,2020-03-05,,0.000564,FLOATING,,,BR028
DEP-CURRENT_RET-0024,DEPOSIT,GHS,9416102.32,CURRENT,SBL-CUST-002258,DEP.RET.CUR,2001,2020-02-01,,0.001016,FLOATING,,,BR010
DEP-CURRENT_RET-0025,DEPOSIT,GHS,6291450.23,CURRENT,SBL-CUST-005089,DEP.RET.CUR,2001,2020-04-16,,0.002303,FLOATING,,,BR007
DEP-CURRENT_RET-0026,DEPOSIT,GHS,13037077.02,CURRENT,SBL-CUST-012915,DEP.RET.CUR,2001,2019-08-19,,0.001116,FLOATING,,,BR005
DEP-CURRENT_RET-0027,DEPOSIT,GHS,9556532.27,CURRENT,SBL-CUST-007188,DEP.RET.CUR,2001,2021-04-11,,0.004549,FLOATING,,,BR016
DEP-CURRENT_RET-0028,DEPOSIT,GHS,6043510.64,CURRENT,SBL-CUST-000551,DEP.RET.CUR,2001,2024-06-27,,0.00307,FLOATING,,,BR015
DEP-CURRENT_RET-0029,DEPOSIT,GHS,6470739.61,CURRENT,SBL-CUST-013753,DEP.RET.CUR,2001,2019-11-20,,0.004192,FLOATING,,,BR002
DEP-CURRENT_RET-0030,DEPOSIT,GHS,6235483.21,CURRENT,SBL-CUST-003274,DEP.RET.CUR,2001,2020-11-14,,0.004924,FLOATING,,,BR019
DEP-CURRENT_RET-0031,DEPOSIT,GHS,14342339.88,CURRENT,SBL-CUST-001407,DEP.RET.CUR,2001,2026-01-30,,0.003495,FLOATING,,,BR004
DEP-CURRENT_RET-0032,DEPOSIT,GHS,6281018.59,CURRENT,SBL-CUST-001458,DEP.RET.CUR,2001,2022-01-01,,0.004687,FLOATING,,,BR017
DEP-CURRENT_RET-0033,DEPOSIT,GHS,6162821.63,CURRENT,SBL-CUST-001725,DEP.RET.CUR,2001,2024-12-21,,0.00479,FLOATING,,,BR001
DEP-CURRENT_RET-0034,DEPOSIT,GHS,11597590.82,CURRENT,SBL-CUST-009099,DEP.RET.CUR,2001,2026-01-26,,0.000523,FLOATING,,,BR009
DEP-CURRENT_RET-0035,DEPOSIT,GHS,16246559.5,CURRENT,SBL-CUST-008943,DEP.RET.CUR,2001,2024-06-03,,0.004577,FLOATING,,,BR023
DEP-CURRENT_RET-0036,DEPOSIT,GHS,5794639.93,CURRENT,SBL-CUST-001194,DEP.RET.CUR,2001,2020-04-26,,0.000769,FLOATING,,,BR013
DEP-CURRENT_RET-0037,DEPOSIT,GHS,28938580.77,CURRENT,SBL-CUST-010076,DEP.RET.CUR,2001,2024-05-05,,0.004683,FLOATING,,,BR002
DEP-CURRENT_RET-0038,DEPOSIT,GHS,6267488.66,CURRENT,SBL-CUST-006537,DEP.RET.CUR,2001,2019-10-21,,0.004717,FLOATING,,,BR009
DEP-CURRENT_RET-0039,DEPOSIT,GHS,9889031.39,CURRENT,SBL-CUST-007855,DEP.RET.CUR,2001,2023-04-07,,0.001202,FLOATING,,,BR013
DEP-CURRENT_RET-0040,DEPOSIT,GHS,17627325.18,CURRENT,SBL-CUST-002013,DEP.RET.CUR,2001,2021-05-18,,0.001912,FLOATING,,,BR009
DEP-CURRENT_RET-0041,DEPOSIT,GHS,18098095.8,CURRENT,SBL-CUST-007388,DEP.RET.CUR,2001,2024-08-17,,0.001246,FLOATING,,,BR014
DEP-CURRENT_RET-0042,DEPOSIT,GHS,93887448.84,CURRENT,SBL-CUST-008304,DEP.RET.CUR,2001,2020-07-15,,0.003037,FLOATING,,,BR005
